feature_a,feature_b,pearson,spearman
word_count,word_count,1.0,1.0
word_count,sentence_count,0.7126631334249458,0.7196677977002947
word_count,type_token_ratio,-0.8180192488196792,-0.8869190866889324
word_count,filler_count,0.6467987658698563,0.6287820996077093
word_count,filler_ratio,0.11531709739116923,0.1709875472660431
word_count,mean_clause_length,-0.19916640199131205,-0.13498471373817134
word_count,content_density,-0.08415962802548373,-0.08278779997779333
word_count,noun_ratio,-0.1374602638000702,-0.11252336486368351
word_count,verb_ratio,-0.2959032177642871,-0.3337041166658174
word_count,adjective_ratio,0.22880063889105964,0.28820923483898886
word_count,adverb_ratio,0.23758719334355793,0.30164634233711185
word_count,pronoun_ratio,0.2111512310429926,0.2638179331251269
word_count,determiner_ratio,-0.10998323630141947,-0.10748554281947534
sentence_count,word_count,0.7126631334249458,0.7196677977002947
sentence_count,sentence_count,1.0,1.0
sentence_count,type_token_ratio,-0.5999458805598777,-0.6203366574466788
sentence_count,filler_count,0.4321026036711248,0.4027639824533688
sentence_count,filler_ratio,0.034284909268621634,0.05588115367564333
sentence_count,mean_clause_length,-0.24805707033539157,-0.22513215399949263
sentence_count,content_density,0.11523713941904189,0.11455464629530726
sentence_count,noun_ratio,0.0684547791434635,0.07924327663340548
sentence_count,verb_ratio,-0.22542475739834095,-0.2331119858457289
sentence_count,adjective_ratio,0.1954153620314871,0.1964584958284486
sentence_count,adverb_ratio,0.16049249658185524,0.21051152860872144
sentence_count,pronoun_ratio,0.12748287810400097,0.18079722127639342
sentence_count,determiner_ratio,-0.03309053352545938,-0.022363767912507385
type_token_ratio,word_count,-0.8180192488196792,-0.8869190866889324
type_token_ratio,sentence_count,-0.5999458805598777,-0.6203366574466788
type_token_ratio,type_token_ratio,1.0,1.0
type_token_ratio,filler_count,-0.6181690150084506,-0.6233906374275259
type_token_ratio,filler_ratio,-0.21508733348806225,-0.22804619295621498
type_token_ratio,mean_clause_length,0.2480777236430009,0.09416936959185199
type_token_ratio,content_density,0.23877474239238838,0.15490491939949552
type_token_ratio,noun_ratio,0.08504766413218762,0.005394130049585529
type_token_ratio,verb_ratio,0.36457392460312993,0.33815135715795946
type_token_ratio,adjective_ratio,-0.10979669259791949,-0.16616454222753907
type_token_ratio,adverb_ratio,-0.06326149523759396,-0.08299432992769888
type_token_ratio,pronoun_ratio,-0.09470097739448018,-0.14043891271311018
type_token_ratio,determiner_ratio,-0.13092960572840875,-0.08039612420387905
filler_count,word_count,0.6467987658698563,0.6287820996077093
filler_count,sentence_count,0.4321026036711248,0.4027639824533688
filler_count,type_token_ratio,-0.6181690150084506,-0.6233906374275259
filler_count,filler_count,1.0,1.0
filler_count,filler_ratio,0.7285505915042724,0.8401125299326051
filler_count,mean_clause_length,-0.09277205220450539,-0.07335331019604513
filler_count,content_density,-0.27580282639298287,-0.32203431290908885
filler_count,noun_ratio,-0.21317837394150488,-0.240644308946575
filler_count,verb_ratio,-0.27870954849070184,-0.30484794477936
filler_count,adjective_ratio,0.1282634985481309,0.13685559729985627
filler_count,adverb_ratio,0.11532121202351331,0.17098609592339958
filler_count,pronoun_ratio,0.10265608568444312,0.16516153410717976
filler_count,determiner_ratio,-0.16938597720309326,-0.18806542005379456
filler_ratio,word_count,0.11531709739116923,0.1709875472660431
filler_ratio,sentence_count,0.034284909268621634,0.05588115367564333
filler_ratio,type_token_ratio,-0.21508733348806225,-0.22804619295621498
filler_ratio,filler_count,0.7285505915042724,0.8401125299326051
filler_ratio,filler_ratio,1.0,1.0
filler_ratio,mean_clause_length,0.011991265820619606,-0.003256094607700354
filler_ratio,content_density,-0.34373104540956245,-0.3549411782226918
filler_ratio,noun_ratio,-0.22197738881828552,-0.22299190543328484
filler_ratio,verb_ratio,-0.1269014855920681,-0.1747685595960671
filler_ratio,adjective_ratio,-0.008372391784287548,-0.01780121498672368
filler_ratio,adverb_ratio,-0.0365851679619661,0.012499268764926378
filler_ratio,pronoun_ratio,0.0033882926774363156,0.03911442737201858
filler_ratio,determiner_ratio,-0.15659555101202016,-0.18348719334076366
mean_clause_length,word_count,-0.19916640199131205,-0.13498471373817134
mean_clause_length,sentence_count,-0.24805707033539157,-0.22513215399949263
mean_clause_length,type_token_ratio,0.2480777236430009,0.09416936959185199
mean_clause_length,filler_count,-0.09277205220450539,-0.07335331019604513
mean_clause_length,filler_ratio,0.011991265820619606,-0.003256094607700354
mean_clause_length,mean_clause_length,1.0,1.0
mean_clause_length,content_density,0.3413521641528978,0.18185702928179037
mean_clause_length,noun_ratio,0.4380396653580595,0.332059347006701
mean_clause_length,verb_ratio,-0.12804262362936866,-0.14196422042765083
mean_clause_length,adjective_ratio,0.04373792893717408,0.02718607393301966
mean_clause_length,adverb_ratio,-0.08937178521144863,-0.1492996288549504
mean_clause_length,pronoun_ratio,-0.44394332359517574,-0.4718288540595519
mean_clause_length,determiner_ratio,0.15277974784617887,0.2661609516623927
content_density,word_count,-0.08415962802548373,-0.08278779997779333
content_density,sentence_count,0.11523713941904189,0.11455464629530726
content_density,type_token_ratio,0.23877474239238838,0.15490491939949552
content_density,filler_count,-0.27580282639298287,-0.32203431290908885
content_density,filler_ratio,-0.34373104540956245,-0.3549411782226918
content_density,mean_clause_length,0.3413521641528978,0.18185702928179037
content_density,content_density,1.0,1.0
content_density,noun_ratio,0.6432778044124917,0.5932172681739325
content_density,verb_ratio,0.19474465769695132,0.18036625220553526
content_density,adjective_ratio,0.2942862918884577,0.30343358466852655
content_density,adverb_ratio,0.08999998502060111,0.052983850777658076
content_density,pronoun_ratio,-0.40585422158960455,-0.3921929594167979
content_density,determiner_ratio,0.15067787803274196,0.19785793717632738
noun_ratio,word_count,-0.1374602638000702,-0.11252336486368351
noun_ratio,sentence_count,0.0684547791434635,0.07924327663340548
noun_ratio,type_token_ratio,0.08504766413218762,0.005394130049585529
noun_ratio,filler_count,-0.21317837394150488,-0.240644308946575
noun_ratio,filler_ratio,-0.22197738881828552,-0.22299190543328484
noun_ratio,mean_clause_length,0.4380396653580595,0.332059347006701
noun_ratio,content_density,0.6432778044124917,0.5932172681739325
noun_ratio,noun_ratio,1.0,1.0
noun_ratio,verb_ratio,-0.1367059528282136,-0.12577366928235229
noun_ratio,adjective_ratio,-0.08339021536202874,-0.07964530209976348
noun_ratio,adverb_ratio,-0.4491282030279935,-0.4998426112176985
noun_ratio,pronoun_ratio,-0.5557149351936259,-0.5283021353304107
noun_ratio,determiner_ratio,0.5673560708618663,0.6275861387074989
verb_ratio,word_count,-0.2959032177642871,-0.3337041166658174
verb_ratio,sentence_count,-0.22542475739834095,-0.2331119858457289
verb_ratio,type_token_ratio,0.36457392460312993,0.33815135715795946
verb_ratio,filler_count,-0.27870954849070184,-0.30484794477936
verb_ratio,filler_ratio,-0.1269014855920681,-0.1747685595960671
verb_ratio,mean_clause_length,-0.12804262362936866,-0.14196422042765083
verb_ratio,content_density,0.19474465769695132,0.18036625220553526
verb_ratio,noun_ratio,-0.1367059528282136,-0.12577366928235229
verb_ratio,verb_ratio,1.0,1.0
verb_ratio,adjective_ratio,-0.35211438709776854,-0.3113202081270203
verb_ratio,adverb_ratio,-0.24956271100538294,-0.20490342904217676
verb_ratio,pronoun_ratio,0.09566764683095025,0.08195722843212412
verb_ratio,determiner_ratio,-0.1264137289187459,-0.13255705397137904
adjective_ratio,word_count,0.22880063889105964,0.28820923483898886
adjective_ratio,sentence_count,0.1954153620314871,0.1964584958284486
adjective_ratio,type_token_ratio,-0.10979669259791949,-0.16616454222753907
adjective_ratio,filler_count,0.1282634985481309,0.13685559729985627
adjective_ratio,filler_ratio,-0.008372391784287548,-0.01780121498672368
adjective_ratio,mean_clause_length,0.04373792893717408,0.02718607393301966
adjective_ratio,content_density,0.2942862918884577,0.30343358466852655
adjective_ratio,noun_ratio,-0.08339021536202874,-0.07964530209976348
adjective_ratio,verb_ratio,-0.35211438709776854,-0.3113202081270203
adjective_ratio,adjective_ratio,1.0,1.0
adjective_ratio,adverb_ratio,0.22654690506606207,0.23828075006593824
adjective_ratio,pronoun_ratio,-0.04385576247912405,-0.038058011618423364
adjective_ratio,determiner_ratio,-0.19859672358189476,-0.18446040835100852
adverb_ratio,word_count,0.23758719334355793,0.30164634233711185
adverb_ratio,sentence_count,0.16049249658185524,0.21051152860872144
adverb_ratio,type_token_ratio,-0.06326149523759396,-0.08299432992769888
adverb_ratio,filler_count,0.11532121202351331,0.17098609592339958
adverb_ratio,filler_ratio,-0.0365851679619661,0.012499268764926378
adverb_ratio,mean_clause_length,-0.08937178521144863,-0.1492996288549504
adverb_ratio,content_density,0.08999998502060111,0.052983850777658076
adverb_ratio,noun_ratio,-0.4491282030279935,-0.4998426112176985
adverb_ratio,verb_ratio,-0.24956271100538294,-0.20490342904217676
adverb_ratio,adjective_ratio,0.22654690506606207,0.23828075006593824
adverb_ratio,adverb_ratio,1.0,1.0
adverb_ratio,pronoun_ratio,0.2195248556112665,0.25056339985489684
adverb_ratio,determiner_ratio,-0.43294207146304514,-0.44864104130874216
pronoun_ratio,word_count,0.2111512310429926,0.2638179331251269
pronoun_ratio,sentence_count,0.12748287810400097,0.18079722127639342
pronoun_ratio,type_token_ratio,-0.09470097739448018,-0.14043891271311018
pronoun_ratio,filler_count,0.10265608568444312,0.16516153410717976
pronoun_ratio,filler_ratio,0.0033882926774363156,0.03911442737201858
pronoun_ratio,mean_clause_length,-0.44394332359517574,-0.4718288540595519
pronoun_ratio,content_density,-0.40585422158960455,-0.3921929594167979
pronoun_ratio,noun_ratio,-0.5557149351936259,-0.5283021353304107
pronoun_ratio,verb_ratio,0.09566764683095025,0.08195722843212412
pronoun_ratio,adjective_ratio,-0.04385576247912405,-0.038058011618423364
pronoun_ratio,adverb_ratio,0.2195248556112665,0.25056339985489684
pronoun_ratio,pronoun_ratio,1.0,1.0
pronoun_ratio,determiner_ratio,-0.6022254713573453,-0.5634417423007778
determiner_ratio,word_count,-0.10998323630141947,-0.10748554281947534
determiner_ratio,sentence_count,-0.03309053352545938,-0.022363767912507385
determiner_ratio,type_token_ratio,-0.13092960572840875,-0.08039612420387905
determiner_ratio,filler_count,-0.16938597720309326,-0.18806542005379456
determiner_ratio,filler_ratio,-0.15659555101202016,-0.18348719334076366
determiner_ratio,mean_clause_length,0.15277974784617887,0.2661609516623927
determiner_ratio,content_density,0.15067787803274196,0.19785793717632738
determiner_ratio,noun_ratio,0.5673560708618663,0.6275861387074989
determiner_ratio,verb_ratio,-0.1264137289187459,-0.13255705397137904
determiner_ratio,adjective_ratio,-0.19859672358189476,-0.18446040835100852
determiner_ratio,adverb_ratio,-0.43294207146304514,-0.44864104130874216
determiner_ratio,pronoun_ratio,-0.6022254713573453,-0.5634417423007778
determiner_ratio,determiner_ratio,1.0,1.0
